Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,N,,25,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,N,,15,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y,FW,83,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,AM,60,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,sct Scotland,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,AM,84,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 1–0,sct Scotland,hu Hungary,N,,1,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,N,,1,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,Y,AM,87,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,RM,90,1,0,1,0,0,1,1,100,0,2,0,2,1,2,4,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,CB,90,0,0,0,0,0,0,2,0,2,0,0,0,2,2,8,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,LB,90,4,2,3,1,0,1,1,100,0,0,0,0,0,4,2,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,CM,90,5,0,2,1,2,2,3,66.7,1,2,0,2,2,7,6,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,N,FW,19,2,1,2,0,0,0,0,,0,1,0,1,0,2,0,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,N,FW,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,LB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,CM,90,1,1,1,0,0,1,2,50,1,1,0,1,1,2,2,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,RM,90,0,0,0,0,0,0,2,0,2,1,0,1,0,0,2,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,CB,90,2,1,1,1,0,1,1,100,0,1,0,1,3,5,3,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,LB,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,RM,90,1,0,0,0,1,0,1,0,1,2,0,2,1,2,3,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,N,FW,19,1,1,0,0,1,0,1,0,1,1,0,1,1,2,0,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,CM,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y,AM,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,N,,27,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,FW,72,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,N,,18,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,LB,82,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,CM,72,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,au Australia,kr Korea Republic,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,au Australia,kr Korea Republic,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,au Australia,kr Korea Republic,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
17-11-2018,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,au Australia,kr Korea Republic,Y,AM,84,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,au Australia,kr Korea Republic,N,,36,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,au Australia,kr Korea Republic,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
