Date,Teams_elo,From,To,Team_Full_Name
02-01-2018,1569,02-01-2018,04-01-2018,Iran
02-01-2018,1526,02-01-2018,04-01-2018,Oman
02-01-2018,1561,02-01-2018,04-01-2018,UAE
02-01-2018,1403,02-01-2018,04-01-2018,Bahrain
05-01-2018,1528,05-01-2018,06-01-2018,Oman
05-01-2018,1559,05-01-2018,06-01-2018,UAE
07-01-2018,1515,07-01-2018,10-01-2018,Estonia
07-01-2018,1818,07-01-2018,10-01-2018,Sweden
11-01-2018,1602,11-01-2018,13-01-2018,Finland
11-01-2018,1473,11-01-2018,13-01-2018,Jordan
14-01-2018,1814,14-01-2018,26-01-2018,Iceland
14-01-2018,1232,14-01-2018,26-01-2018,Indonesia
27-01-2018,1329,27-01-2018,27-01-2018,Moldova
27-01-2018,1762,27-01-2018,27-01-2018,Korea Republic
28-01-2018,1727,28-01-2018,29-01-2018,Bosnia and Herzegovina
28-01-2018,1747,28-01-2018,29-01-2018,United States
30-01-2018,1331,30-01-2018,30-01-2018,Moldova
30-01-2018,1757,30-01-2018,30-01-2018,Korea Republic
30-01-2018,1570,30-01-2018,30-01-2018,Jamaica
30-01-2018,1398,30-01-2018,30-01-2018,Azerbaijan
31-01-2018,1720,31-01-2018,02-02-2018,Bosnia and Herzegovina
31-01-2018,1855,31-01-2018,02-02-2018,Mexico
03-02-2018,1360,03-02-2018,25-02-2018,Latvia
03-02-2018,1759,03-02-2018,25-02-2018,Korea Republic
26-02-2018,1327,26-02-2018,27-02-2018,Moldova
26-02-2018,1571,26-02-2018,27-02-2018,Saudi Arabia
28-02-2018,1582,28-02-2018,16-03-2018,Iran
28-02-2018,1558,28-02-2018,16-03-2018,Saudi Arabia
17-03-2018,1378,17-03-2018,19-03-2018,Sierra Leone
17-03-2018,1802,17-03-2018,19-03-2018,Iran
20-03-2018,1212,20-03-2018,20-03-2018,New Caledonia
20-03-2018,1215,20-03-2018,20-03-2018,Tahiti
21-03-2018,1534,21-03-2018,21-03-2018,South Africa
21-03-2018,1383,21-03-2018,21-03-2018,Togo
21-03-2018,1191,21-03-2018,21-03-2018,Bermuda
21-03-2018,1487,21-03-2018,21-03-2018,Qatar
21-03-2018,1154,21-03-2018,21-03-2018,Liechtenstein
21-03-2018,1477,21-03-2018,21-03-2018,Zimbabwe
21-03-2018,823,21-03-2018,21-03-2018,Cambodia
21-03-2018,1026,21-03-2018,21-03-2018,Andorra
21-03-2018,1252,21-03-2018,21-03-2018,Angola
21-03-2018,1210,21-03-2018,21-03-2018,Antigua and Barbuda
21-03-2018,1559,21-03-2018,21-03-2018,Iran
21-03-2018,1479,21-03-2018,21-03-2018,Jordan
21-03-2018,1415,21-03-2018,21-03-2018,Kuwait
21-03-2018,771,21-03-2018,21-03-2018,Laos
21-03-2018,1368,21-03-2018,21-03-2018,Madagascar
21-03-2018,1496,21-03-2018,21-03-2018,Zambia
22-03-2018,1404,22-03-2018,22-03-2018,Palestine
22-03-2018,762,22-03-2018,22-03-2018,Turks and Caicos Islands
22-03-2018,1358,22-03-2018,22-03-2018,Latvia
22-03-2018,1067,22-03-2018,22-03-2018,Myanmar
22-03-2018,1071,22-03-2018,22-03-2018,Mauritius
22-03-2018,662,22-03-2018,22-03-2018,Mongolia
22-03-2018,1331,22-03-2018,22-03-2018,Luxembourg
22-03-2018,1245,22-03-2018,22-03-2018,Fiji
22-03-2018,1551,22-03-2018,22-03-2018,UAE
22-03-2018,1419,22-03-2018,22-03-2018,Gabon
22-03-2018,1288,22-03-2018,22-03-2018,Guinea-Bissau
22-03-2018,1101,22-03-2018,22-03-2018,Grenada
22-03-2018,1296,22-03-2018,22-03-2018,Tanzania
22-03-2018,1296,22-03-2018,22-03-2018,Cuba
22-03-2018,1402,22-03-2018,22-03-2018,Thailand
22-03-2018,1756,22-03-2018,22-03-2018,Slovakia
22-03-2018,1542,22-03-2018,22-03-2018,Algeria
22-03-2018,1400,22-03-2018,22-03-2018,Bahrain
22-03-2018,1169,22-03-2018,22-03-2018,Belize
22-03-2018,1611,22-03-2018,22-03-2018,Burkina Faso
22-03-2018,1542,22-03-2018,22-03-2018,China PR
22-03-2018,1845,22-03-2018,22-03-2018,Denmark
22-03-2018,1668,22-03-2018,22-03-2018,Panama
22-03-2018,1250,22-03-2018,22-03-2018,Dominican Republic
22-03-2018,1233,22-03-2018,22-03-2018,Kyrgyzstan
22-03-2018,676,22-03-2018,22-03-2018,Macao
22-03-2018,1053,22-03-2018,22-03-2018,Malaysia
22-03-2018,1206,22-03-2018,22-03-2018,Malta
22-03-2018,1279,22-03-2018,22-03-2018,Nicaragua
22-03-2018,1169,22-03-2018,22-03-2018,Philippines
22-03-2018,1282,22-03-2018,22-03-2018,Faroe Islands
22-03-2018,1786,22-03-2018,22-03-2018,Wales
23-03-2018,1520,23-03-2018,23-03-2018,Mali
23-03-2018,1629,23-03-2018,23-03-2018,Slovenia
23-03-2018,2118,23-03-2018,23-03-2018,Brazil
23-03-2018,1733,23-03-2018,23-03-2018,Ukraine
23-03-2018,1757,23-03-2018,23-03-2018,Costa Rica
23-03-2018,1614,23-03-2018,23-03-2018,Uzbekistan
23-03-2018,935,23-03-2018,23-03-2018,Maldives
23-03-2018,1205,23-03-2018,23-03-2018,New Caledonia
23-03-2018,1790,23-03-2018,23-03-2018,Iran
23-03-2018,1723,23-03-2018,23-03-2018,Rep. of Ireland
23-03-2018,1700,23-03-2018,23-03-2018,Czech Republic
23-03-2018,1842,23-03-2018,23-03-2018,Croatia
23-03-2018,1707,23-03-2018,23-03-2018,Australia
23-03-2018,1945,23-03-2018,23-03-2018,England
23-03-2018,1758,23-03-2018,23-03-2018,Serbia
23-03-2018,1799,23-03-2018,23-03-2018,Iceland
23-03-2018,1358,23-03-2018,23-03-2018,Kazakhstan
23-03-2018,1427,23-03-2018,23-03-2018,Trin & Tobago
23-03-2018,1873,23-03-2018,23-03-2018,Switzerland
23-03-2018,2036,23-03-2018,23-03-2018,Spain
23-03-2018,1299,23-03-2018,23-03-2018,Central African Republic
23-03-2018,1940,23-03-2018,23-03-2018,Colombia
23-03-2018,1521,23-03-2018,23-03-2018,Macedonia
23-03-2018,1611,23-03-2018,23-03-2018,Montenegro
23-03-2018,1699,23-03-2018,23-03-2018,Bolivia
23-03-2018,1730,23-03-2018,23-03-2018,Bosnia and Herzegovina
23-03-2018,1507,23-03-2018,23-03-2018,Belarus
23-03-2018,1894,23-03-2018,23-03-2018,Italy
23-03-2018,1655,23-03-2018,23-03-2018,Egypt
23-03-2018,1715,23-03-2018,23-03-2018,Nigeria
23-03-2018,1701,23-03-2018,23-03-2018,Japan
23-03-2018,1720,23-03-2018,23-03-2018,Turkey
23-03-2018,1635,23-03-2018,23-03-2018,Tunisia
23-03-2018,1222,23-03-2018,23-03-2018,Tahiti
23-03-2018,1062,23-03-2018,23-03-2018,Singapore
23-03-2018,1747,23-03-2018,23-03-2018,Senegal
23-03-2018,1709,23-03-2018,23-03-2018,Scotland
23-03-2018,1563,23-03-2018,23-03-2018,Saudi Arabia
