Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,LB,61,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,FW,82,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,N,,14,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y*,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,FW,76,1.0,0.0,1.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,FW,69,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,AM,65,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,AM,82,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,FW,72,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,,25,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y*,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,,15,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,Y,FW,71,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,Y,FW,85,2.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,Y,LB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,N,,19,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,Y*,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,Y,CM,80,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,N,,33,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,Y,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,N,,28,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,Y,FW,90,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,N,,9,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,N,,14,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,N,,27,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,Y,FW,76,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,N,FW,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y,RW,87,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,42.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,26.0,32.0,81.3,1.0,6.0,11.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y,FW,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,22.0,32.0,68.8,2.0,1.0,2.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y,RB,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,72.0,84.0,85.7,7.0,1.0,1.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y,AM,89,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,76.0,5.0,0.0,0.0,0.1,0.1,0.1,4.0,1.0,48.0,65.0,73.8,0.0,2.0,4.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y,LB,90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,76.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,48.0,57.0,84.2,3.0,0.0,1.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y,CB,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,46.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,29.0,35.0,82.9,2.0,0.0,0.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
07-06-2018,Fri,FIFA World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y*,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,33.0,48.5,0.0,0.0,0.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,DM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,AM,79,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,LB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,FW,65,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,N,,25,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League A,Away,D 0–0,fr France,de Germany,Y*,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,70.0,85.7,8.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,LB,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,45.0,56.0,80.4,1.0,1.0,2.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y*,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,0.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,FW,69,1.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.2,0.0,2.0,1.0,11.0,22.0,50.0,0.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0
