Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,Y,LB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,Y,DM,45,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,Y,FW,72,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,N,,45,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,Y,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y*,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y,LB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y,FW,72,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,83.3,0.0,0.0,0.0,Match Report,,,,,,,,,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,"LM,RM",90,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,58.0,1.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,39.0,47.0,83.0,4.0,3.0,4.0,Match Report,,,,,,,,,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,"LW,RW",90,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,50.0,2.0,0.0,1.0,0.3,0.3,0.1,2.0,0.0,23.0,31.0,74.2,6.0,4.0,7.0,Match Report,,,,,,,,,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,LB,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,46.0,52.0,88.5,6.0,0.0,0.0,Match Report,,,,,,,,,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,"RB,CM",54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,75.0,3.0,1.0,1.0,Match Report,,,,,,,,,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,Y*,CM,58,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,Y,CB,58,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,Y,LB,69,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,N,,45,0.0,1.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y*,LM,60,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y,FW,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y,CB,15,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,N,,23,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,Y,CM,73,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,Y,LB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,43.0,58.1,0.0,0.0,0.0,Match Report,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,LW,65,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,36.0,3.0,2.0,0.0,0.7,0.7,0.1,8.0,1.0,21.0,23.0,91.3,0.0,4.0,5.0,Match Report,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y*,DM,72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,3.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,24.0,29.0,82.8,1.0,1.0,1.0,Match Report,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,CB,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,37.0,1.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,26.0,33.0,78.8,2.0,0.0,0.0,Match Report,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,N,"RB,DM",33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,0.0,0.0,Match Report,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,LB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,8.0,4.0,0.0,0.0,0.1,1.0,0.0,36.0,50.0,72.0,3.0,3.0,4.0,Match Report,,,,,,,,,3.0,3.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y*,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,77.8,0.0,0.0,0.0,Match Report,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,LW,70,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0,1.0,3.0,1.0,0.2,0.2,0.6,1.0,1.0,11.0,13.0,84.6,1.0,2.0,4.0,Match Report,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,LB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,48.0,87.5,2.0,0.0,0.0,Match Report,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,DM,67,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,1.0,1.0,4.0,0.1,0.1,0.0,5.0,0.0,30.0,37.0,81.1,0.0,0.0,0.0,Match Report,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,50.0,57.0,87.7,3.0,0.0,0.0,Match Report,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,Y,"RB,DM",90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,66.0,73.0,90.4,7.0,1.0,2.0,Match Report,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
23-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 2–1,mx Mexico,kr Korea Republic,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,7.0,57.1,3.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,"RB,CB",90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,69.0,79.7,5.0,4.0,4.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,CB,90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,62.0,0.0,1.0,0.0,0.1,0.1,0.1,2.0,0.0,49.0,56.0,87.5,11.0,0.0,0.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,Y,"LW,AM",90,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,1.0,0.0,2.0,0.1,0.1,0.1,8.0,0.0,18.0,22.0,81.8,2.0,4.0,6.0,Match Report,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
27-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–3,mx Mexico,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
