Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sn Senegal,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sn Senegal,uz Uzbekistan,N,,11,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sn Senegal,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,sn Senegal,ba Bosnia & Herz'na,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,sn Senegal,ba Bosnia & Herz'na,Y,DM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,sn Senegal,ba Bosnia & Herz'na,N,,23,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,sn Senegal,ba Bosnia & Herz'na,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y,DM,45,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y,CB,45,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y,AM,63,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y*,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,N,CM,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,Match Report,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,CM,90,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,62.0,1.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,47.0,53.0,88.7,2.0,0.0,0.0,Match Report,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,RM,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,25.0,72.0,3.0,2.0,5.0,Match Report,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,LB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,4.0,0.0,0.0,0.2,3.0,0.0,42.0,51.0,82.4,2.0,2.0,2.0,Match Report,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,76.5,1.0,0.0,0.0,Match Report,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,RM,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,0.0,1.0,0.0,0.1,0.1,0.0,5.0,0.0,20.0,29.0,69.0,2.0,0.0,3.0,Match Report,,,,,,,,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,CM,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,42.0,83.3,5.0,0.0,1.0,Match Report,,,,,,,,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,LB,90,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,26.0,37.0,70.3,1.0,1.0,2.0,Match Report,,,,,,,,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,N,DM,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,1.0,0.0,0.0,Match Report,,,,,,,,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,39.0,82.1,2.0,0.0,0.0,Match Report,,,,,,,,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,sn Senegal,co Colombia,Y,CM,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,43.0,50.0,86.0,5.0,0.0,0.0,Match Report,,,,,,,,,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
