Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,CM,69,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,LB,81,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,FW,81,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,CM,52,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,N,,9,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y*,DM,90,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,RB,75,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y*,FW,79,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,RB,45,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,CM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,FW,62,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,LB,52,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,N,,28,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,DM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,FW,45,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
