Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
28-01-2018,Sun,Friendlies (M),Friendlies (M),Home,D 0–0,us United States,ba Bosnia & Herz'na,Y,RW,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2018,Sun,Friendlies (M),Friendlies (M),Home,D 0–0,us United States,ba Bosnia & Herz'na,Y,AM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2018,Sun,Friendlies (M),Friendlies (M),Home,D 0–0,us United States,ba Bosnia & Herz'na,Y,AM,67,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2018,Sun,Friendlies (M),Friendlies (M),Home,D 0–0,us United States,ba Bosnia & Herz'na,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,FW,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,CM,90,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,CM,80,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,N,,21,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,CB,60,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,N,,14,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,N,,21,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,RB,69,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,Y,RB,90,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,N,,5,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,N,,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,Y,CB,90,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
