,Date,Venue,Squad,Opponent,FTR,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Squad_Goals,Opponent_Goals,Team1_Elo,Team2_Elo
0,2018-01-28,Home,United States,Bosnia and Herzegovina,D,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,1597.2,1597.2
1,2018-01-31,Home,Mexico,Bosnia and Herzegovina,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,0.0,1607.12,1584.32
2,2018-02-26,Home,Saudi Arabia,Moldova,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,1607.2,1587.2
3,2018-03-17,Home,Iran,Sierra Leone,W,0.4,0.2,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1607.2,1587.2
4,2018-03-22,Home,Denmark,Panama,W,0.0,0.2,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1607.2,1587.2
5,2018-03-23,Home,Saudi Arabia,Ukraine,D,0.3333333333333333,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1604.2,1597.0
6,2018-03-23,Home,Scotland,Costa Rica,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1587.2,1607.2
7,2018-03-23,Home,Senegal,Uzbekistan,D,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1597.2,1597.2
8,2018-03-23,Home,Tunisia,Iran,W,0.0,0.0,0.0,0.0,,,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1607.4,1594.6000000000001
9,2018-03-23,Home,Argentina,Italy,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1607.2,1587.2
10,2018-03-23,Home,Mexico,Iceland,W,0.0,0.2,0.0,0.0,,,0.2,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,0.0,1614.1399999999999,1587.02
11,2018-03-23,Away,Ireland,Turkey,L,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1587.2,1607.2
12,2018-03-23,Away,Iran,Tunisia,L,0.0,0.0,0.0,0.0,,,0.18181818181818182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1582.14,1614.94
13,2018-03-23,Away,England,Netherlands,W,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1607.2,1587.2
14,2018-03-23,Away,Costa Rica,Scotland,W,0.0,0.16666666666666666,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1613.88,1573.88
15,2018-03-23,Away,Australia,Norway,L,0.14285714285714285,0.14285714285714285,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,4.0,1587.2,1607.2
