Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,N,,30,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,N,,25,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y,CM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,Y,FW,83,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 4–0,au Australia,cz Czech Republic,N,,15,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,AM,84,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,RB,51,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,DM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,sct Scotland,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–4,au Australia,no Norway,Y,AM,60,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,N,,1,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,Y,AM,87,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,W 1–0,sct Scotland,hu Hungary,N,,1,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,D 0–0,au Australia,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,N,FW,19,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,3,4,75,1,0,0,Match Report,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,CB,90,0,0,0,0,0,0,0,0,66,0,2,0,0,0,0,1,0,44,52,84.6,3,0,0,Match Report,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,CM,90,0,0,0,0,0,0,0,0,75,5,2,2,0,0,0.1,2,0,47,62,75.8,3,1,1,Match Report,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,RM,90,0,0,0,0,3,0,1,0,35,1,1,2,0.2,0.2,0,1,0,11,22,50,0,0,0,Match Report,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,GK,90,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,42,47,89.4,0,0,0,Match Report,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,L 1–2,au Australia,fr France,Y,LB,90,0,0,0,0,1,0,1,0,72,4,0,0,0,0,0.1,1,0,48,61,78.7,0,0,1,Match Report,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,GK,90,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,37,46,80.4,0,0,0,Match Report,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,N,FW,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.1,1,0,3,4,75,0,1,1,Match Report,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,CM,90,0,0,0,0,2,0,0,0,64,1,1,1,0.1,0.1,0.1,4,0,47,58,81,3,2,2,Match Report,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,LB,90,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,3,0,57,70,81.4,2,3,4,Match Report,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,CB,90,0,0,0,0,0,0,0,0,63,0,2,0,0,0,0,0,0,52,55,94.5,4,0,0,Match Report,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,au Australia,dk Denmark,Y,RM,90,0,0,0,0,5,1,0,0,51,0,0,1,0.3,0.3,0.1,5,1,23,34,67.6,3,2,4,Match Report,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,RM,90,0,0,0,0,2,0,0,0,49,1,1,2,0.1,0.1,0,4,0,22,31,71,1,3,6,Match Report,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,CM,90,0,0,0,0,1,0,0,0,91,0,0,2,0,0,0.4,5,0,72,86,83.7,5,1,1,Match Report,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,28,29,96.6,0,0,0,Match Report,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,LB,90,0,0,0,0,1,0,0,0,62,0,1,1,0.1,0.1,0.1,4,0,48,54,88.9,3,0,2,Match Report,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,N,FW,19,0,0,0,0,0,0,0,0,11,1,1,1,0,0,0,0,0,3,8,37.5,0,0,0,Match Report,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,L 0–2,au Australia,pe Peru,Y,CB,90,0,0,0,0,1,0,0,0,95,2,3,1,0.2,0.2,0.2,2,0,77,85,90.6,7,1,1,Match Report,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y,AM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,Y,GK,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-09-2018,Sat,Friendlies (M),Friendlies (M),Away,W 2–1,au Australia,hu Hungary,N,,27,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,FW,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,N,,18,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,N,,15,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,CM,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,LB,82,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-10-2018,Mon,Friendlies (M),Friendlies (M),Away,W 4–0,au Australia,kw Kuwait,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
