Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,CM,97,4,2,2,2,0,3,3,100,0,2,1,1,1,5,1,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,GK,120,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,LM,105,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,FW,120,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y*,CB,120,0,0,0,0,0,0,1,0,1,1,0,1,0,0,7,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,CM,45,1,0,1,0,0,0,0,,0,1,1,0,0,1,1,0,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y*,CB,62,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,N,,18,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,N,,45,,,,,,,,,,,,,,,,,Match Report
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y,AM,63,,,,,,,,,,,,,,,,,Match Report
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y*,CB,63,,,,,,,,,,,,,,,,,Match Report
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y,LB,66,,,,,,,,,,,,,,,,,Match Report
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,Y,DM,71,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,Y,AM,63,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,cl Chile,N,,45,,,,,,,,,,,,,,,,,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,DM,90,1,1,0,1,0,0,0,,0,1,0,1,1,2,2,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,N,LW,24,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,CB,80,2,2,2,0,0,0,0,,0,2,1,1,1,3,2,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,LB,90,1,1,0,1,0,0,2,0,2,0,0,0,1,2,2,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y,AM,90,2,2,1,1,0,1,2,50,1,2,0,2,1,3,1,0,Match Report
16-06-2018,Sat,FIFA World Cup,Group stage,Neutral,W 1–0,dk Denmark,pe Peru,Y*,CB,90,1,0,1,0,0,0,0,,0,2,1,1,0,1,5,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,LB,90,3,1,3,0,0,2,3,66.7,1,1,1,0,0,3,2,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y*,CB,90,2,2,1,1,0,2,2,100,0,1,1,0,0,2,8,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,DM,90,3,2,1,2,0,1,2,50,1,1,0,1,3,6,1,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,AM,90,0,0,0,0,0,0,3,0,3,1,1,0,1,1,1,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,N,RW,32,1,0,0,1,0,1,1,100,0,1,0,1,0,1,0,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,CB,90,1,0,1,0,0,0,1,0,1,1,1,0,2,3,4,0,Match Report
21-06-2018,Thu,FIFA World Cup,Group stage,Neutral,D 1–1,dk Denmark,au Australia,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,N,FW,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,CM,90,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,RM,90,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,LB,90,2,0,0,2,0,0,0,,0,0,0,0,2,4,2,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,CM,89,2,0,1,1,0,1,1,100,0,2,1,1,1,3,1,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y,DM,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,7,0,Match Report
26-06-2018,Tue,FIFA World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,AM,89,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,N,,45,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,N,,45,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-09-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,Y,DM,61,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,FW,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,UEFA Nations League,League B,Home,W 2–0,dk Denmark,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,N,,12,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,RM,90,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,FW,78,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
16-10-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,N,,45,,,,,,,,,,,,,,,,,Match Report
