Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,GK,120,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,56,0,0,0,0,0,1,0,32,52,61.5,0,0,0
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y*,CB,120,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,87,0,1,0,0,0,2,0,68,77,88.3,4,0,0
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,CM,97,0,1,0,0,1,0,0,0,,,,,,1,,,,Match Report,66,4,2,0,0,0.1,2,1,46,54,85.2,7,2,2
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,LM,105,0,0,0,0,3,1,0,0,,,,,,0,,,,Match Report,29,0,0,0.4,0.4,0,1,0,13,19,68.4,0,0,0
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,CM,45,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,29,1,1,0,0,0,0,0,21,24,87.5,3,0,0
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,Y,FW,120,0,0,0,0,3,0,0,0,,,,,,1,,,,Match Report,67,0,1,0.1,0.1,0.3,2,0,41,57,71.9,3,2,2
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (2)–1 (3),dk Denmark,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y*,CB,62,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,N,,45,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,N,,18,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y,DM,90,0,1,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y*,CB,63,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2018,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,dk Denmark,pa Panama,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
