Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,FW,72,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,N,,18,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,ie Rep. of Ireland,us United States,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y*,FW,72,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,RM,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,CB,120,3,3,1,2,0,0,2,0,2,0,0,0,2,5,10,0,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,GK,120,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,CB,112,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,1,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,"DM,CM",120,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,2,0,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,CB,120,1,0,0,1,0,0,0,,0,1,1,0,0,1,3,0,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,"RW,WB",120,8,4,6,1,1,6,7,85.7,1,2,0,2,2,10,2,0,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,FW,87,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,N,"CM,CB",40,2,1,0,2,0,0,1,0,1,0,0,0,0,2,0,0,Match Report
