Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,RM,90,0,1,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,N,,18,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y*,FW,72,1,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,FW,72,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,ie Rep. of Ireland,us United States,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,ng Nigeria,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,N,CM,8,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,4,0,0,0,0,0,0,0,4,4,100,0,0,0
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,FW,87,0,0,0,0,3,0,0,0,,,,,,0,,,,Match Report,31,0,1,0.1,0.1,0,0,0,19,22,86.4,2,0,1
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,"RW,WB",120,0,0,0,0,1,0,0,0,,,,,,2,,,,Match Report,76,8,2,0.1,0.1,0.8,6,0,38,57,66.7,3,2,3
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,CB,112,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,70,0,1,0,0,0,1,0,59,63,93.7,1,1,1
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,"DM,CM",120,0,0,0,0,0,0,1,0,,,,,,0,,,,Match Report,51,2,0,0,0,0.1,1,0,33,47,70.2,3,0,0
07-03-2018,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
