Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y*,GK,90,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,FW,76,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,FW,69,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,FW,82,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,N,,14,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,LB,61,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,AM,82,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,AM,65,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,FW,72,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,N,,15,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y*,GK,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
