Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,DM,54,,,,,,,,,,,,,,,,,Match Report
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,,45,,,,,,,,,,,,,,,,,Match Report
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,CB,59,,,,,,,,,,,,,,,,,Match Report
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,AM,90,,,,,,,,,,,,,,,,,Match Report
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,RB,59,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,,16,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,AM,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,,45,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,LW,75,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,DM,55,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,RW,74,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,,15,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,AM,69,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,,51,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,DM,45,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,FW,60,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y*,DM,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,AM,39,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,,13,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,,18,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,AM,77,,,,,,,,,,,,,,,,,Match Report
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,,45,,,,,,,,,,,,,,,,,Match Report
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,,22,,,,,,,,,,,,,,,,,Match Report
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,,45,,,,,,,,,,,,,,,,,Match Report
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
