Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,RB,59,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,AM,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,CB,59,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,Y,DM,54,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2018,Sat,Friendlies (M),Friendlies (M),Home,W 4–0,ir IR Iran,sl Sierra Leone,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,,15,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,DM,55,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,RW,74,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,LW,75,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,,16,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,GK,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,ir IR Iran,tn Tunisia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,,51,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y*,DM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,,18,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,,13,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,AM,39,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,DM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,FW,60,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,AM,69,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,AM,77,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,ir IR Iran,dz Algeria,Y,GK,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,FW,68,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,,23,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,,22,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,CM,67,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,GK,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,DM,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y*,CM,58,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,DM,57,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,,33,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,CM,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,FW,74,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,,16,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,FW,79,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,,33,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,FW,57,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,RM,84,0,0,0,0,2,1,1,0,28,4,2,1,0.1,0.1,0,1,0,10,19,52.6,1,2,2,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,LB,90,0,0,0,0,2,0,0,0,45,0,0,1,0.1,0.1,0,1,0,14,36,38.9,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"CB,DM",11,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,2,100,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,CB,90,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,13,22,59.1,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,"CB,DM",90,0,0,0,0,1,0,0,0,22,2,1,1,0.1,0.1,0,0,0,9,12,75,0,0,0,Match Report,,,,,,,,
