Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
31-01-2018,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,ba Bosnia & Herz'na,Y,FW,72,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y*,GK,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,mx Mexico,sct Scotland,Y,FW,72,,,,,,,,,,,,,,,,,Match Report
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,LB,90,4,0,0,4,0,1,2,50,1,3,1,2,0,4,7,0,Match Report
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,"RB,CM",54,2,2,1,1,0,1,2,50,1,0,0,0,0,2,2,0,Match Report
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,"LW,RW",90,2,0,0,2,0,0,0,,0,1,0,1,0,2,0,0,Match Report
07-02-2018,Mon,FIFA World Cup,Round of 16,Neutral,L 0–2,mx Mexico,br Brazil,Y,"LM,RM",90,1,1,1,0,0,1,4,25,3,0,0,0,1,2,1,0,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,Y,CB,58,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,Y*,CM,58,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,N,,45,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,mx Mexico,is Iceland,Y,LB,69,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y,FW,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,N,,23,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y*,LM,60,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,mx Mexico,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,D 0–0,mx Mexico,wls Wales,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,N,"RB,DM",33,0,0,0,0,0,0,1,0,1,3,3,0,1,1,3,0,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,LW,65,3,2,3,0,0,0,0,,0,0,0,0,2,5,0,0,Match Report
17-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 1–0,mx Mexico,de Germany,Y,LB,90,2,1,2,0,0,1,1,100,0,4,2,2,8,10,9,0,Match Report
