Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,N,,19,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,Y*,FW,66,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,Y,DM,18,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,N,,5,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,Y,DM,85,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pl Poland,ng Nigeria,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 3–2,pl Poland,kr Korea Republic,Y,FW,90,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 3–2,pl Poland,kr Korea Republic,Y,GK,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
