Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
26-02-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,sa Saudi Arabia,md Moldova,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
26-02-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,sa Saudi Arabia,md Moldova,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
26-02-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,sa Saudi Arabia,md Moldova,N,,45,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,CM,45,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,N,,45,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,FW,67,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,FW,76,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,FW,60,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,Y,RB,89,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,Y,FW,89,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,Y,FW,71,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,Y,LM,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,N,,45,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,Y,RM,68,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,N,,45,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,Y,AM,90,,,,,,,,,,,,,,,,,Match Report
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,N,,19,,,,,,,,,,,,,,,,,Match Report
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,N,,28,,,,,,,,,,,,,,,,,Match Report
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,N,,29,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,Y,AM,45,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,Y,AM,89,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,N,,7,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,N,,45,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,N,,21,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,L 1–2,sa Saudi Arabia,it Italy,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,Y,CM,90,2,1,0,2,0,0,0,,0,0,0,0,0,2,5,0,Match Report
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,Y,LB,90,4,4,3,0,1,1,2,50,1,2,0,2,1,5,4,0,Match Report
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,N,RM,17,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,Match Report
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,Y,LM,90,4,3,3,1,0,0,1,0,1,1,0,1,1,5,0,0,Match Report
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,N,"FW,DM",27,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Match Report
14-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–5,sa Saudi Arabia,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,Y,CB,90,1,0,1,0,0,1,1,100,0,3,2,1,0,1,5,1,Match Report
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,Y,RW,74,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Match Report
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Match Report
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,Y,LB,90,1,0,1,0,0,0,1,0,1,0,0,0,0,1,3,0,Match Report
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,Y,LW,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Match Report
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,Y,FW,77,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,N,RW,16,1,1,0,1,0,0,2,0,2,1,0,1,0,1,0,0,Match Report
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,sa Saudi Arabia,uy Uruguay,Y,AM,90,1,0,0,1,0,0,1,0,1,1,0,1,1,2,0,0,Match Report
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,sa Saudi Arabia,eg Egypt,Y,"FW,RM",78,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,Match Report
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,sa Saudi Arabia,eg Egypt,Y,LB,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,Match Report
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,sa Saudi Arabia,eg Egypt,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,sa Saudi Arabia,eg Egypt,Y,RM,64,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Match Report
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,sa Saudi Arabia,eg Egypt,Y,LM,90,2,2,0,1,1,0,1,0,1,1,0,1,1,3,0,0,Match Report
