Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
26-02-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,sa Saudi Arabia,md Moldova,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
26-02-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,sa Saudi Arabia,md Moldova,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
26-02-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,sa Saudi Arabia,md Moldova,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,N,,23,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,FW,76,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,CM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,FW,60,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,L 0–3,sa Saudi Arabia,pe Peru,Y,FW,67,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,Y,FW,89,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,Y,RB,89,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,Y,FW,71,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sa Saudi Arabia,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,Y,LM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,Y,RM,68,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–4,sa Saudi Arabia,be Belgium,Y,GK,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,N,,19,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-05-2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,sa Saudi Arabia,gr Greece,Y,AM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
