Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sn Senegal,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,D 1–1,sn Senegal,uz Uzbekistan,N,,11,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,sn Senegal,ba Bosnia & Herz'na,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,sn Senegal,ba Bosnia & Herz'na,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,sn Senegal,ba Bosnia & Herz'na,N,,23,,,,,,,,,,,,,,,,,Match Report
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y,DM,45,,,,,,,,,,,,,,,,,Match Report
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y,AM,63,,,,,,,,,,,,,,,,,Match Report
31-05-2018,Thu,Friendlies (M),Friendlies (M),Away,D 0–0,sn Senegal,lu Luxembourg,Y,CB,45,,,,,,,,,,,,,,,,,Match Report
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,N,CM,5,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0,Match Report
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,LB,90,0,0,0,0,0,0,0,,0,4,0,4,2,2,3,0,Match Report
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,CM,90,1,1,1,0,0,1,1,100,0,0,0,0,1,2,0,0,Match Report
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,RM,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Match Report
19-06-2018,Tue,FIFA World Cup,Group stage,Neutral,W 2–1,sn Senegal,pl Poland,Y,CB,90,2,1,2,0,0,0,1,0,1,1,0,1,1,3,5,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,CM,90,1,1,1,0,0,1,1,100,0,2,0,2,0,1,2,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,RM,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,CB,90,3,2,2,1,0,1,2,50,1,0,0,0,0,3,1,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,N,DM,26,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,Match Report
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,D 2–2,sn Senegal,jp Japan,Y,LB,90,1,0,0,0,1,1,1,100,0,0,0,0,0,1,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,sn Senegal,co Colombia,Y,CM,90,5,5,2,3,0,3,4,75,1,3,0,3,1,6,1,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,sn Senegal,co Colombia,Y*,CM,90,2,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,sn Senegal,co Colombia,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,3,3,3,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,sn Senegal,co Colombia,Y,LB,73,1,1,0,1,0,1,1,100,0,0,0,0,1,2,4,0,Match Report
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,sn Senegal,co Colombia,Y,RM,90,2,2,1,0,1,1,1,100,0,0,0,0,0,2,0,0,Match Report
06-08-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–2,sn Senegal,hr Croatia,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-08-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–2,sn Senegal,hr Croatia,Y,RM,74,,,,,,,,,,,,,,,,,Match Report
06-08-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–2,sn Senegal,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-08-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–2,sn Senegal,hr Croatia,Y,CM,87,,,,,,,,,,,,,,,,,Match Report
06-08-2018,Fri,Friendlies (M),Friendlies (M),Away,L 1–2,sn Senegal,hr Croatia,Y,CB,81,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,D 2–2,sn Senegal,mg Madagascar,Y,AM,74,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,D 2–2,sn Senegal,mg Madagascar,Y*,DM,90,,,,,,,,,,,,,,,,,Match Report
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,D 2–2,sn Senegal,mg Madagascar,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-09-2018,Sun,Africa Cup of Nations qualification,Group stage,Away,D 2–2,sn Senegal,mg Madagascar,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,Africa Cup of Nations qualification,Group stage,Home,W 3–0,sn Senegal,sd Sudan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
13-10-2018,Sat,Africa Cup of Nations qualification,Group stage,Home,W 3–0,sn Senegal,sd Sudan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
13-10-2018,Sat,Africa Cup of Nations qualification,Group stage,Home,W 3–0,sn Senegal,sd Sudan,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,Africa Cup of Nations qualification,Group stage,Home,W 3–0,sn Senegal,sd Sudan,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,Africa Cup of Nations qualification,Group stage,Home,W 3–0,sn Senegal,sd Sudan,Y,DM,43,,,,,,,,,,,,,,,,,Match Report
13-10-2018,Sat,Africa Cup of Nations qualification,Group stage,Home,W 3–0,sn Senegal,sd Sudan,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
16-10-2018,Tue,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,sd Sudan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,sd Sudan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
16-10-2018,Tue,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,sd Sudan,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
16-10-2018,Tue,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,sd Sudan,Y,LW,90,,,,,,,,,,,,,,,,,Match Report
16-10-2018,Tue,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,sd Sudan,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
06-11-2018,Mon,Friendlies (M),Friendlies (M),Away,W 2–0,sn Senegal,kr Korea Republic,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
06-11-2018,Mon,Friendlies (M),Friendlies (M),Away,W 2–0,sn Senegal,kr Korea Republic,Y,FW,62,,,,,,,,,,,,,,,,,Match Report
06-11-2018,Mon,Friendlies (M),Friendlies (M),Away,W 2–0,sn Senegal,kr Korea Republic,Y*,DM,62,,,,,,,,,,,,,,,,,Match Report
06-11-2018,Mon,Friendlies (M),Friendlies (M),Away,W 2–0,sn Senegal,kr Korea Republic,N,,28,,,,,,,,,,,,,,,,,Match Report
06-11-2018,Mon,Friendlies (M),Friendlies (M),Away,W 2–0,sn Senegal,kr Korea Republic,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,gq Equ. Guinea,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,gq Equ. Guinea,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,gq Equ. Guinea,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,gq Equ. Guinea,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
17-11-2018,Sat,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,gq Equ. Guinea,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
17-11-2018,Sat,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,gq Equ. Guinea,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
07-01-2019,Mon,Africa Cup of Nations,Group stage,Neutral,W 3–0,sn Senegal,ke Kenya,Y,DM,79,,2,,,,,,,,,,,0,,,,Match Report
07-01-2019,Mon,Africa Cup of Nations,Group stage,Neutral,W 3–0,sn Senegal,ke Kenya,Y*,LB,90,,1,,,,,,,,,,,0,,,,Match Report
07-01-2019,Mon,Africa Cup of Nations,Group stage,Neutral,W 3–0,sn Senegal,ke Kenya,Y,CB,90,,2,,,,,,,,,,,2,,,,Match Report
07-01-2019,Mon,Africa Cup of Nations,Group stage,Neutral,W 3–0,sn Senegal,ke Kenya,Y,AM,90,,0,,,,,,,,,,,0,,,,Match Report
07-01-2019,Mon,Africa Cup of Nations,Group stage,Neutral,W 3–0,sn Senegal,ke Kenya,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-01-2019,Mon,Africa Cup of Nations,Group stage,Neutral,W 3–0,sn Senegal,ke Kenya,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-01-2019,Mon,Africa Cup of Nations,Group stage,Neutral,W 3–0,sn Senegal,ke Kenya,N,,11,,1,,,,,,,,,,,0,,,,Match Report
23-03-2019,Sat,Africa Cup of Nations qualification,Group stage,Home,W 2–0,sn Senegal,mg Madagascar,Y,FW,85,,,,,,,,,,,,,,,,,Match Report
23-03-2019,Sat,Africa Cup of Nations qualification,Group stage,Home,W 2–0,sn Senegal,mg Madagascar,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
