Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,LB,120,1,0,0,1,0,0,2,0,2,0,0,0,0,1,2,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,DM,120,4,4,1,3,0,1,1,100,0,0,0,0,0,4,4,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,DM,120,4,1,2,2,0,2,2,100,0,0,0,0,2,6,0,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,RW,103,1,0,1,0,0,1,1,100,0,0,0,0,0,1,1,0,Match Report
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,N,RB,51,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,Y,LB,77,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,N,,31,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,N,,9,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,N,,32,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 6–1,es Spain,ar Argentina,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 6–1,es Spain,ar Argentina,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
