Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,DM,120,0,0,0,0,1,0,0,0,95,4,2,0,0,0,0,0,0,78,86,90.7,9,0,0,Match Report,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,N,RB,51,0,0,0,0,1,0,0,0,48,0,0,0,0.1,0.1,0,0,0,39,46,84.8,3,1,1,Match Report,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,LB,120,0,0,0,0,2,1,0,0,178,1,0,0,0.1,0.1,0,4,0,158,169,93.5,9,2,3,Match Report,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,DM,120,0,0,0,0,1,0,0,0,169,4,0,0,0,0,0.7,9,0,152,160,95,6,0,1,Match Report,,,,,,,,
07-01-2018,Sun,FIFA World Cup,Round of 16,Neutral,D 1 (3)–1 (4),es Spain,ru Russia,Y,RW,103,0,0,0,0,1,1,0,0,55,1,0,0,0,0,0.1,3,0,43,50,86,0,1,1,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,Y,LB,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
06-03-2018,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,es Spain,ch Switzerland,N,,31,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,de Germany,N,,9,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
