Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,N,,9,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y*,DM,90,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,RB,75,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,FW,81,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,LB,81,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,CM,69,,,,,,,,,,,,,,,,,Match Report
06-01-2018,Fri,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,tr Türkiye,Y,CM,52,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y*,FW,79,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,LB,52,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,N,,28,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,FW,45,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,RB,45,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,FW,62,,,,,,,,,,,,,,,,,Match Report
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,ir IR Iran,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,N,,26,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,Y,LB,32,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,Y,RB,89,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,Y,AM,64,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,Y*,FW,76,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,Y,AM,57,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,tn Tunisia,cr Costa Rica,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,pt Portugal,Y*,CM,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,pt Portugal,N,,24,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,pt Portugal,Y,FW,45,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,pt Portugal,Y,CM,75,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,pt Portugal,N,,45,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 2–2,tn Tunisia,pt Portugal,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y,CM,90,2,1,1,1,0,0,2,0,2,1,0,1,1,3,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y*,FW,84,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y,LM,72,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y,"RB,CB",90,1,1,0,1,0,0,0,,0,1,1,0,2,3,2,0,Match Report
18-06-2018,Mon,FIFA World Cup,Group stage,Neutral,L 1–2,tn Tunisia,eng England,Y,"DM,CM",90,4,3,3,1,0,2,5,40,3,0,0,0,1,5,1,0,Match Report
