Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
28-01-2018,Sun,Friendlies (M),Friendlies (M),Home,D 0–0,us United States,ba Bosnia & Herz'na,Y,RW,90,,,,,,,,,,,,,,,,,Match Report
28-01-2018,Sun,Friendlies (M),Friendlies (M),Home,D 0–0,us United States,ba Bosnia & Herz'na,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
28-01-2018,Sun,Friendlies (M),Friendlies (M),Home,D 0–0,us United States,ba Bosnia & Herz'na,Y,AM,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,N,,21,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,RB,69,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,CM,80,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,N,,21,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,Y,FW,90,,,,,,,,,,,,,,,,,Match Report
06-02-2018,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,Y,AM,90,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,N,,5,,,,,,,,,,,,,,,,,Match Report
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
27-03-2018,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,py Paraguay,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,FW,60,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,AM,88,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,bo Bolivia,Y,RW,60,,,,,,,,,,,,,,,,,Match Report
09-07-2018,Fri,Friendlies (M),Friendlies (M),Home,L 0–2,us United States,br Brazil,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
