Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,LB,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,AM,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,AM,63,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,,45,,,,,,,,,,,,,,,,,Match Report
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,RB,45,,,,,,,,,,,,,,,,,Match Report
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,FW,74,,,,,,,,,,,,,,,,,Match Report
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,DM,90,,,,,,,,,,,,,,,,,Match Report
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,RB,90,,,,,,,,,,,,,,,,,Match Report
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,DM,66,,,,,,,,,,,,,,,,,Match Report
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
