Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,AM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,,10,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,AM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,AM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,,10,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,RB,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,N,,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,RB,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,D 0–0,wls Wales,mx Mexico,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,LB,80,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,DM,66,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-06-2018,Thu,UEFA Nations League,League B,Home,W 4–1,wls Wales,ie Rep. of Ireland,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
